serial,id,stage,classes,trait,section,domains,streams,subjects,entranceExams,targetCourses,careerFamilies,interestClusters,skills,combinationKeys,text
"15","v7_class8_achievement_015","foundation","class-8","achievement","work-style","media_communication | arts_performance","humanities | arts | commerce | science pcm | science pcb | performing arts | fine arts","mass media | english | political science | sociology | psychology | music | dance | theatre | fine arts","journalism entrance | cuet ug | performance audition | music entrance | dance entrance","journalism | mass communication | media studies | performing arts | music | dance | theatre","media | communication | journalism | performing arts | creative arts | entertainment","achievement | communication | verbal | creative | creativity | performance","goal orientation | persistence","domain:media communication | domain:arts performance | stream:humanities | stream:arts | stream:commerce | stream:science pcm | stream:science pcb | stream:performing arts | exam:journalism entrance | exam:cuet ug | exam:performance audition | exam:music entrance | exam:dance entrance | stream:humanities|subject:mass media | stream:humanities|subject:english | stream:humanities|subject:political science | stream:humanities|subject:sociology | stream:arts|subject:mass media | stream:arts|subject:english | stream:arts|subject:political science | stream:arts|subject:sociology | stream:commerce|subject:mass media | stream:commerce|subject:english | stream:commerce|subject:political science | stream:commerce|subject:sociology | stream:science pcm|subject:mass media | stream:science pcm|subject:english | stream:science pcm|subject:political science | stream:science pcm|subject:sociology | stream:humanities|exam:journalism entrance | stream:humanities|exam:cuet ug | stream:humanities|exam:performance audition | stream:humanities|exam:music entrance | stream:arts|exam:journalism entrance | stream:arts|exam:cuet ug | stream:arts|exam:performance audition | stream:arts|exam:music entrance | stream:commerce|exam:journalism entrance | stream:commerce|exam:cuet ug | stream:commerce|exam:performance audition | stream:commerce|exam:music entrance | stream:science pcm|exam:journalism entrance | stream:science pcm|exam:cuet ug | stream:science pcm|exam:performance audition | stream:science pcm|exam:music entrance | exam:journalism entrance|course:journalism | exam:journalism entrance|course:mass communication | exam:journalism entrance|course:media studies | exam:journalism entrance|course:performing arts | exam:cuet ug|course:journalism | exam:cuet ug|course:mass communication | exam:cuet ug|course:media studies | exam:cuet ug|course:performing arts | exam:performance audition|course:journalism | exam:performance audition|course:mass communication | exam:performance audition|course:media studies | exam:performance audition|course:performing arts | exam:music entrance|course:journalism | exam:music entrance|course:mass communication | exam:music entrance|course:media studies | exam:music entrance|course:performing arts | domain:media communication|trait:achievement | domain:arts performance|trait:achievement","I like finding ways to improve my performance while doing a classroom presentation."
"16","v7_class8_achievement_016","foundation","class-8","achievement","interest","general","","","","","","achievement","goal orientation | persistence","domain:general | domain:general|trait:achievement","I stay motivated by noticing measurable progress in a school competition."
"17","v7_class8_achievement_017","foundation","class-8","achievement","decision-making","general","","","","","","achievement","goal orientation | persistence","domain:general | domain:general|trait:achievement","If an unfamiliar topic is important to me, I can continue working even when progress is slow."
"18","v7_class8_achievement_018","foundation","class-8","achievement","preferences","general","","","","","","achievement","goal orientation | persistence","domain:general | domain:general|trait:achievement","I usually try to produce work I can be proud of when completing a responsibility at home."
"19","v7_class8_achievement_019","foundation","class-8","achievement","strength","general","","","","","","achievement","goal orientation | persistence","domain:general | domain:general|trait:achievement","I feel motivated when a problem a friend is facing gives me a difficult but achievable challenge."
"20","v7_class8_achievement_020","foundation","class-8","achievement","problem-solving","general","","","","","","achievement","goal orientation | persistence","domain:general | domain:general|trait:achievement","Completing something useful for my community makes me feel proud that I followed the work through to the end."
"21","v7_class8_achievement_021","foundation","class-8","achievement","work-style","design_architecture","fine arts | humanities | science pcm | science pcmb | commerce","fine arts | design | engineering graphics | mathematics | visual arts","nata | jee paper 2 | uceed | nid dat | nift","barch | bdes | design | architecture | fashion design","design | architecture | creative arts","design-creative | achievement | creativity | design | visual | spatial","goal orientation | persistence","domain:design architecture | stream:fine arts | stream:humanities | stream:science pcm | stream:science pcmb | stream:commerce | exam:nata | exam:jee paper 2 | exam:uceed | exam:nid dat | exam:nift | stream:fine arts|subject:fine arts | stream:fine arts|subject:design | stream:fine arts|subject:engineering graphics | stream:fine arts|subject:mathematics | stream:humanities|subject:fine arts | stream:humanities|subject:design | stream:humanities|subject:engineering graphics | stream:humanities|subject:mathematics | stream:science pcm|subject:fine arts | stream:science pcm|subject:design | stream:science pcm|subject:engineering graphics | stream:science pcm|subject:mathematics | stream:science pcmb|subject:fine arts | stream:science pcmb|subject:design | stream:science pcmb|subject:engineering graphics | stream:science pcmb|subject:mathematics | stream:fine arts|exam:nata | stream:fine arts|exam:jee paper 2 | stream:fine arts|exam:uceed | stream:fine arts|exam:nid dat | stream:humanities|exam:nata | stream:humanities|exam:jee paper 2 | stream:humanities|exam:uceed | stream:humanities|exam:nid dat | stream:science pcm|exam:nata | stream:science pcm|exam:jee paper 2 | stream:science pcm|exam:uceed | stream:science pcm|exam:nid dat | stream:science pcmb|exam:nata | stream:science pcmb|exam:jee paper 2 | stream:science pcmb|exam:uceed | stream:science pcmb|exam:nid dat | exam:nata|course:barch | exam:nata|course:bdes | exam:nata|course:design | exam:nata|course:architecture | exam:jee paper 2|course:barch | exam:jee paper 2|course:bdes | exam:jee paper 2|course:design | exam:jee paper 2|course:architecture | exam:uceed|course:barch | exam:uceed|course:bdes | exam:uceed|course:design | exam:uceed|course:architecture | exam:nid dat|course:barch | exam:nid dat|course:bdes | exam:nid dat|course:design | exam:nid dat|course:architecture | domain:design architecture|trait:achievement","I like finding ways to improve my performance while doing an open-ended creative assignment."
"22","v7_class8_achievement_022","foundation","class-8","achievement","interest","technology","science pcm | science pcmb | pcm computer science | pcm + computer science","mathematics | computer science | information technology | artificial intelligence | data science | physics","jee main | jee advanced | bitsat | viteee | srmjeee | met | comedk | cuet ug","btech computer science | bca | bsc computer science | bsc data science | btech ai | btech it","technology | software | data | computing","technology | achievement | analytical | quantitative | problem-solving","goal orientation | persistence","domain:technology | stream:science pcm | stream:science pcmb | stream:pcm computer science | stream:pcm + computer science | exam:jee main | exam:jee advanced | exam:bitsat | exam:viteee | exam:srmjeee | exam:met | exam:comedk | exam:cuet ug | stream:science pcm|subject:mathematics | stream:science pcm|subject:computer science | stream:science pcm|subject:information technology | stream:science pcm|subject:artificial intelligence | stream:science pcmb|subject:mathematics | stream:science pcmb|subject:computer science | stream:science pcmb|subject:information technology | stream:science pcmb|subject:artificial intelligence | stream:pcm computer science|subject:mathematics | stream:pcm computer science|subject:computer science | stream:pcm computer science|subject:information technology | stream:pcm computer science|subject:artificial intelligence | stream:pcm + computer science|subject:mathematics | stream:pcm + computer science|subject:computer science | stream:pcm + computer science|subject:information technology | stream:pcm + computer science|subject:artificial intelligence | stream:science pcm|exam:jee main | stream:science pcm|exam:jee advanced | stream:science pcm|exam:bitsat | stream:science pcm|exam:viteee | stream:science pcmb|exam:jee main | stream:science pcmb|exam:jee advanced | stream:science pcmb|exam:bitsat | stream:science pcmb|exam:viteee | stream:pcm computer science|exam:jee main | stream:pcm computer science|exam:jee advanced | stream:pcm computer science|exam:bitsat | stream:pcm computer science|exam:viteee | stream:pcm + computer science|exam:jee main | stream:pcm + computer science|exam:jee advanced | stream:pcm + computer science|exam:bitsat | stream:pcm + computer science|exam:viteee | exam:jee main|course:btech computer science | exam:jee main|course:bca | exam:jee main|course:bsc computer science | exam:jee main|course:bsc data science | exam:jee advanced|course:btech computer science | exam:jee advanced|course:bca | exam:jee advanced|course:bsc computer science | exam:jee advanced|course:bsc data science | exam:bitsat|course:btech computer science | exam:bitsat|course:bca | exam:bitsat|course:bsc computer science | exam:bitsat|course:bsc data science | exam:viteee|course:btech computer science | exam:viteee|course:bca | exam:viteee|course:bsc computer science | exam:viteee|course:bsc data science | domain:technology|trait:achievement","I stay motivated by noticing measurable progress in a device that is not working properly."
"23","v7_class8_achievement_023","foundation","class-8","achievement","decision-making","research_science","science pcm | science pcb | science pcmb | biotechnology","science | physics | chemistry | biology | mathematics | biotechnology","iiser iat | iat | nest | cuet ug","bsc | bs-ms | integrated msc | research degree","research | science | academia","achievement | science | research | analytical | scientific curiosity","goal orientation | persistence","domain:research science | stream:science pcm | stream:science pcb | stream:science pcmb | stream:biotechnology | exam:iiser iat | exam:iat | exam:nest | exam:cuet ug | stream:science pcm|subject:science | stream:science pcm|subject:physics | stream:science pcm|subject:chemistry | stream:science pcm|subject:biology | stream:science pcb|subject:science | stream:science pcb|subject:physics | stream:science pcb|subject:chemistry | stream:science pcb|subject:biology | stream:science pcmb|subject:science | stream:science pcmb|subject:physics | stream:science pcmb|subject:chemistry | stream:science pcmb|subject:biology | stream:biotechnology|subject:science | stream:biotechnology|subject:physics | stream:biotechnology|subject:chemistry | stream:biotechnology|subject:biology | stream:science pcm|exam:iiser iat | stream:science pcm|exam:iat | stream:science pcm|exam:nest | stream:science pcm|exam:cuet ug | stream:science pcb|exam:iiser iat | stream:science pcb|exam:iat | stream:science pcb|exam:nest | stream:science pcb|exam:cuet ug | stream:science pcmb|exam:iiser iat | stream:science pcmb|exam:iat | stream:science pcmb|exam:nest | stream:science pcmb|exam:cuet ug | stream:biotechnology|exam:iiser iat | stream:biotechnology|exam:iat | stream:biotechnology|exam:nest | stream:biotechnology|exam:cuet ug | exam:iiser iat|course:bsc | exam:iiser iat|course:bs-ms | exam:iiser iat|course:integrated msc | exam:iiser iat|course:research degree | exam:iat|course:bsc | exam:iat|course:bs-ms | exam:iat|course:integrated msc | exam:iat|course:research degree | exam:nest|course:bsc | exam:nest|course:bs-ms | exam:nest|course:integrated msc | exam:nest|course:research degree | exam:cuet ug|course:bsc | exam:cuet ug|course:bs-ms | exam:cuet ug|course:integrated msc | exam:cuet ug|course:research degree | domain:research science|trait:achievement","If an unexpected experiment result is important to me, I can continue working even when progress is slow."
"24","v7_class8_achievement_024","foundation","class-8","achievement","preferences","general","","","","","","achievement","goal orientation | persistence","domain:general | domain:general|trait:achievement","I usually try to produce work I can be proud of when completing information from several sources."
"25","v7_class8_achievement_025","foundation","class-8","achievement","strength","general","","","","","","achievement","goal orientation | persistence","domain:general | domain:general|trait:achievement","I feel motivated when a task with limited time gives me a difficult but achievable challenge."
"26","v7_class8_achievement_026","foundation","class-8","achievement","problem-solving","commerce_finance","commerce with mathematics | commerce without mathematics | commerce | commerce with maths","accountancy | economics | business studies | mathematics | applied mathematics | entrepreneurship","cuet ug | ca foundation | cseet | cma foundation","bcom | bcom hons | ca | cs | cma | economics | finance","finance | commerce | accounting | economics","achievement | business | finance | quantitative | economics","goal orientation | persistence","domain:commerce finance | stream:commerce with mathematics | stream:commerce without mathematics | stream:commerce | stream:commerce with maths | exam:cuet ug | exam:ca foundation | exam:cseet | exam:cma foundation | stream:commerce with mathematics|subject:accountancy | stream:commerce with mathematics|subject:economics | stream:commerce with mathematics|subject:business studies | stream:commerce with mathematics|subject:mathematics | stream:commerce without mathematics|subject:accountancy | stream:commerce without mathematics|subject:economics | stream:commerce without mathematics|subject:business studies | stream:commerce without mathematics|subject:mathematics | stream:commerce|subject:accountancy | stream:commerce|subject:economics | stream:commerce|subject:business studies | stream:commerce|subject:mathematics | stream:commerce with maths|subject:accountancy | stream:commerce with maths|subject:economics | stream:commerce with maths|subject:business studies | stream:commerce with maths|subject:mathematics | stream:commerce with mathematics|exam:cuet ug | stream:commerce with mathematics|exam:ca foundation | stream:commerce with mathematics|exam:cseet | stream:commerce with mathematics|exam:cma foundation | stream:commerce without mathematics|exam:cuet ug | stream:commerce without mathematics|exam:ca foundation | stream:commerce without mathematics|exam:cseet | stream:commerce without mathematics|exam:cma foundation | stream:commerce|exam:cuet ug | stream:commerce|exam:ca foundation | stream:commerce|exam:cseet | stream:commerce|exam:cma foundation | stream:commerce with maths|exam:cuet ug | stream:commerce with maths|exam:ca foundation | stream:commerce with maths|exam:cseet | stream:commerce with maths|exam:cma foundation | exam:cuet ug|course:bcom | exam:cuet ug|course:bcom hons | exam:cuet ug|course:ca | exam:cuet ug|course:cs | exam:ca foundation|course:bcom | exam:ca foundation|course:bcom hons | exam:ca foundation|course:ca | exam:ca foundation|course:cs | exam:cseet|course:bcom | exam:cseet|course:bcom hons | exam:cseet|course:ca | exam:cseet|course:cs | exam:cma foundation|course:bcom | exam:cma foundation|course:bcom hons | exam:cma foundation|course:ca | exam:cma foundation|course:cs | domain:commerce finance|trait:achievement","Finishing an activity with a limited budget successfully gives me a strong sense of satisfaction."
"27","v7_class8_achievement_027","foundation","class-8","achievement","work-style","arts_performance","performing arts | fine arts | humanities | arts","music | dance | theatre | fine arts","performance audition | music entrance | dance entrance","performing arts | music | dance | theatre","performing arts | creative arts | entertainment","achievement | creativity | performance | communication","goal orientation | persistence","domain:arts performance | stream:performing arts | stream:fine arts | stream:humanities | stream:arts | exam:performance audition | exam:music entrance | exam:dance entrance | stream:performing arts|subject:music | stream:performing arts|subject:dance | stream:performing arts|subject:theatre | stream:performing arts|subject:fine arts | stream:fine arts|subject:music | stream:fine arts|subject:dance | stream:fine arts|subject:theatre | stream:fine arts|subject:fine arts | stream:humanities|subject:music | stream:humanities|subject:dance | stream:humanities|subject:theatre | stream:humanities|subject:fine arts | stream:arts|subject:music | stream:arts|subject:dance | stream:arts|subject:theatre | stream:arts|subject:fine arts | stream:performing arts|exam:performance audition | stream:performing arts|exam:music entrance | stream:performing arts|exam:dance entrance | stream:fine arts|exam:performance audition | stream:fine arts|exam:music entrance | stream:fine arts|exam:dance entrance | stream:humanities|exam:performance audition | stream:humanities|exam:music entrance | stream:humanities|exam:dance entrance | stream:arts|exam:performance audition | stream:arts|exam:music entrance | stream:arts|exam:dance entrance | exam:performance audition|course:performing arts | exam:performance audition|course:music | exam:performance audition|course:dance | exam:performance audition|course:theatre | exam:music entrance|course:performing arts | exam:music entrance|course:music | exam:music entrance|course:dance | exam:music entrance|course:theatre | exam:dance entrance|course:performing arts | exam:dance entrance|course:music | exam:dance entrance|course:dance | exam:dance entrance|course:theatre | domain:arts performance|trait:achievement","I like finding ways to improve my performance while doing a situation where people have different opinions."
"28","v7_class8_achievement_028","foundation","class-8","achievement","interest","general","","","","","","achievement","goal orientation | persistence","domain:general | domain:general|trait:achievement","I stay motivated by noticing measurable progress in a tool I have never used before."
"29","v7_class8_achievement_029","foundation","class-8","achievement","decision-making","general","","","","","","achievement","goal orientation | persistence","domain:general | domain:general|trait:achievement","If a long assignment spread across several days is important to me, I can continue working even when progress is slow."
"30","v7_class8_achievement_030","foundation","class-8","achievement","preferences","technology | media_communication","science pcm | science pcmb | pcm computer science | pcm + computer science | humanities | arts | commerce | science pcb","mathematics | computer science | information technology | artificial intelligence | data science | physics | mass media | english | political science | sociology | psychology","jee main | jee advanced | bitsat | viteee | srmjeee | met | comedk | cuet ug | journalism entrance","btech computer science | bca | bsc computer science | bsc data science | btech ai | btech it | journalism | mass communication | media studies","technology | software | data | computing | media | communication | journalism","achievement | technology | analytical | quantitative | problem-solving | communication | verbal | creative","goal orientation | persistence","domain:technology | domain:media communication | stream:science pcm | stream:science pcmb | stream:pcm computer science | stream:pcm + computer science | stream:humanities | stream:arts | exam:jee main | exam:jee advanced | exam:bitsat | exam:viteee | exam:srmjeee | exam:met | exam:comedk | exam:cuet ug | stream:science pcm|subject:mathematics | stream:science pcm|subject:computer science | stream:science pcm|subject:information technology | stream:science pcm|subject:artificial intelligence | stream:science pcmb|subject:mathematics | stream:science pcmb|subject:computer science | stream:science pcmb|subject:information technology | stream:science pcmb|subject:artificial intelligence | stream:pcm computer science|subject:mathematics | stream:pcm computer science|subject:computer science | stream:pcm computer science|subject:information technology | stream:pcm computer science|subject:artificial intelligence | stream:pcm + computer science|subject:mathematics | stream:pcm + computer science|subject:computer science | stream:pcm + computer science|subject:information technology | stream:pcm + computer science|subject:artificial intelligence | stream:science pcm|exam:jee main | stream:science pcm|exam:jee advanced | stream:science pcm|exam:bitsat | stream:science pcm|exam:viteee | stream:science pcmb|exam:jee main | stream:science pcmb|exam:jee advanced | stream:science pcmb|exam:bitsat | stream:science pcmb|exam:viteee | stream:pcm computer science|exam:jee main | stream:pcm computer science|exam:jee advanced | stream:pcm computer science|exam:bitsat | stream:pcm computer science|exam:viteee | stream:pcm + computer science|exam:jee main | stream:pcm + computer science|exam:jee advanced | stream:pcm + computer science|exam:bitsat | stream:pcm + computer science|exam:viteee | exam:jee main|course:btech computer science | exam:jee main|course:bca | exam:jee main|course:bsc computer science | exam:jee main|course:bsc data science | exam:jee advanced|course:btech computer science | exam:jee advanced|course:bca | exam:jee advanced|course:bsc computer science | exam:jee advanced|course:bsc data science | exam:bitsat|course:btech computer science | exam:bitsat|course:bca | exam:bitsat|course:bsc computer science | exam:bitsat|course:bsc data science | exam:viteee|course:btech computer science | exam:viteee|course:bca | exam:viteee|course:bsc computer science | exam:viteee|course:bsc data science | domain:technology|trait:achievement | domain:media communication|trait:achievement","I usually try to produce work I can be proud of when completing a video explaining a future career."
"31","v7_class8_achievement_031","foundation","class-8","achievement","strength","general","","","","","","achievement","goal orientation | persistence","domain:general | domain:general|trait:achievement","I feel motivated when an everyday problem around me gives me a difficult but achievable challenge."
"32","v7_class8_adaptability_001","foundation","class-8","adaptability","work-style","general","","","","","","adaptability","adaptability | learning agility","domain:general | domain:general|trait:adaptability","If the plan for an activity suddenly changes, I can usually adjust and continue."
"33","v7_class8_adaptability_002","foundation","class-8","adaptability","learning","general","","","","","","adaptability","adaptability | learning agility","domain:general | domain:general|trait:adaptability","When one way of learning a difficult topic does not work, I am willing to try another method."
"34","v7_class8_adaptability_003","foundation","class-8","adaptability","social-style","general","","","","","","adaptability","adaptability | learning agility","domain:general | domain:general|trait:adaptability","I can work with classmates whose way of doing things is different from mine."
"35","v7_class8_adaptability_004","foundation","class-8","adaptability","problem-solving","general","","","","","","adaptability","adaptability | learning agility","domain:general | domain:general|trait:adaptability","If new information shows that my original idea was weak, I am willing to change my approach."
"36","v7_class8_adaptability_005","foundation","class-8","adaptability","career-exploration","general","","","","","","adaptability","adaptability | learning agility","domain:general | domain:general|trait:adaptability","A future where I keep learning new tools, methods, or responsibilities would be acceptable to me."
"37","v7_class8_adaptability_006","foundation","class-8","adaptability","uncertainty","technology","science pcm | science pcmb | pcm computer science | pcm + computer science","mathematics | computer science | information technology | artificial intelligence | data science | physics","jee main | jee advanced | bitsat | viteee | srmjeee | met | comedk | cuet ug","btech computer science | bca | bsc computer science | bsc data science | btech ai | btech it","technology | software | data | computing","adaptability | technology | analytical | quantitative | problem-solving","adaptability | learning agility","domain:technology | stream:science pcm | stream:science pcmb | stream:pcm computer science | stream:pcm + computer science | exam:jee main | exam:jee advanced | exam:bitsat | exam:viteee | exam:srmjeee | exam:met | exam:comedk | exam:cuet ug | stream:science pcm|subject:mathematics | stream:science pcm|subject:computer science | stream:science pcm|subject:information technology | stream:science pcm|subject:artificial intelligence | stream:science pcmb|subject:mathematics | stream:science pcmb|subject:computer science | stream:science pcmb|subject:information technology | stream:science pcmb|subject:artificial intelligence | stream:pcm computer science|subject:mathematics | stream:pcm computer science|subject:computer science | stream:pcm computer science|subject:information technology | stream:pcm computer science|subject:artificial intelligence | stream:pcm + computer science|subject:mathematics | stream:pcm + computer science|subject:computer science | stream:pcm + computer science|subject:information technology | stream:pcm + computer science|subject:artificial intelligence | stream:science pcm|exam:jee main | stream:science pcm|exam:jee advanced | stream:science pcm|exam:bitsat | stream:science pcm|exam:viteee | stream:science pcmb|exam:jee main | stream:science pcmb|exam:jee advanced | stream:science pcmb|exam:bitsat | stream:science pcmb|exam:viteee | stream:pcm computer science|exam:jee main | stream:pcm computer science|exam:jee advanced | stream:pcm computer science|exam:bitsat | stream:pcm computer science|exam:viteee | stream:pcm + computer science|exam:jee main | stream:pcm + computer science|exam:jee advanced | stream:pcm + computer science|exam:bitsat | stream:pcm + computer science|exam:viteee | exam:jee main|course:btech computer science | exam:jee main|course:bca | exam:jee main|course:bsc computer science | exam:jee main|course:bsc data science | exam:jee advanced|course:btech computer science | exam:jee advanced|course:bca | exam:jee advanced|course:bsc computer science | exam:jee advanced|course:bsc data science | exam:bitsat|course:btech computer science | exam:bitsat|course:bca | exam:bitsat|course:bsc computer science | exam:bitsat|course:bsc data science | exam:viteee|course:btech computer science | exam:viteee|course:bca | exam:viteee|course:bsc computer science | exam:viteee|course:bsc data science | domain:technology|trait:adaptability","I can start exploring an unfamiliar topic even when I do not yet know exactly how difficult it will be."
